timestamp,city,country_code,temperature_celsius,temperature_fahrenheit,feels_like_celsius,feels_like_fahrenheit,temp_min_celsius,temp_min_fahrenheit,temp_max_celsius,temp_max_fahrenheit,humidity,pressure_hpa,pressure_inhg,wind_speed_ms,wind_speed_mph,wind_speed_kmh,wind_direction,visibility_m,visibility_km,visibility_mi,weather_description,weather_main,weather_icon,sunrise_time,sunset_time,cloud_coverage
2025-07-12T20:50:42.307595,Melbourne,AU,,,,,,,,,75,1016,30.002480000000002,8.75,,,30,10000,10.0,6.21371,overcast clouds,Clouds,04n,17:33:27,03:17:50,100
2025-07-12T20:50:42.347924,Berlin,DE,,,,,,,,,94,1007,29.736710000000002,4.12,,,220,8000,8.0,4.970968,broken clouds,Clouds,04n,22:57:59,15:25:37,75
2025-07-12T20:50:42.390018,Munich,DE,,,,,,,,,73,1013,29.913890000000002,1.22,,,174,10000,10.0,6.21371,overcast clouds,Clouds,04n,23:26:09,15:12:02,86
2025-07-12T20:50:42.428544,Paris,FR,,,,,,,,,49,1012,29.88436,3.6,,,40,10000,10.0,6.21371,clear sky,Clear,01n,23:59:59,15:52:03,0
2025-07-12T20:50:42.467776,Lyon,FR,,,,,,,,,57,1011,29.85483,7.72,,,190,10000,10.0,6.21371,clear sky,Clear,01n,00:02:38,15:29:31,0
2025-07-12T20:50:42.506677,Tokyo,JP,,,,,,,,,79,1009,29.79577,3.09,,,10,10000,10.0,6.21371,broken clouds,Clouds,04d,15:35:08,05:58:20,75
2025-07-12T20:50:42.544676,Osaka,JP,,,,,,,,,74,1007,29.736710000000002,3.09,,,70,10000,10.0,6.21371,few clouds,Clouds,02d,15:54:28,06:12:31,23
2025-07-12T20:50:42.586001,Mumbai,IN,,,,,,,,,83,1005,29.67765,4.63,,,240,3000,3.0,1.8641130000000001,mist,Mist,50n,20:38:20,09:49:41,75
2025-07-12T20:50:42.628102,Delhi,IN,,,,,,,,,94,1000,29.53,0.0,,,0,3200,3.2,1.9883872,mist,Mist,50n,20:02:14,09:51:59,75
2025-07-12T20:50:42.664063,Ṣo Paulo,BR,,,,,,,,,72,1025,30.268250000000002,4.12,,,160,10000,10.0,6.21371,clear sky,Clear,01n,05:48:26,16:35:31,0
2025-07-12T20:50:42.706868,Rio de Janeiro,BR,,,,,,,,,70,1025,30.268250000000002,5.14,,,160,10000,10.0,6.21371,clear sky,Clear,01n,05:33:22,16:22:54,0
2025-07-12T20:50:42.748061,Johannesburg,ZA,,,,,,,,,61,1026,30.29778,0.0,,,0,10000,10.0,6.21371,clear sky,Clear,01n,00:54:56,11:31:31,0
2025-07-12T20:50:42.787592,Cape Town,ZA,,,,,,,,,70,1021,30.15013,2.68,,,193,10000,10.0,6.21371,clear sky,Clear,01n,01:50:10,11:53:17,0
2025-07-12T20:50:42.824859,Rome,IT,,,,,,,,,62,1016,30.002480000000002,1.54,,,210,10000,10.0,6.21371,clear sky,Clear,01n,23:45:27,14:45:24,0
2025-07-12T20:50:42.896271,Milan,IT,,,,,,,,,61,1013,29.913890000000002,2.06,,,260,10000,10.0,6.21371,few clouds,Clouds,02n,23:46:20,15:11:00,20
2025-07-12T20:50:42.941817,Moscow,RU,,,,,,,,,74,1018,30.06154,2.58,,,138,10000,10.0,6.21371,overcast clouds,Clouds,04n,21:01:40,14:08:13,100
2025-07-12T20:50:43.018481,Saint Petersburg,RU,,,,,,,,,78,1018,30.06154,2.0,,,210,8000,8.0,4.970968,broken clouds,Clouds,04n,20:57:20,15:10:49,75
2025-07-12T20:50:43.056283,Beijing,CN,,,,,,,,,78,1006,29.70718,1.75,,,29,10000,10.0,6.21371,clear sky,Clear,01n,16:56:33,07:43:12,0
2025-07-12T20:50:43.108519,Shanghai,CN,,,,,,,,,89,1004,29.648120000000002,2.0,,,340,10000,10.0,6.21371,broken clouds,Clouds,04n,16:59:00,07:00:13,75
2025-07-12T20:50:43.142897,Mexico City,MX,,,,,,,,,43,1016,30.002480000000002,1.54,,,0,6437,6.437,3.999765127,scattered clouds,Clouds,03d,08:05:32,21:18:27,40
2025-07-12T20:50:43.187654,Guadalajara,MX,,,,,,,,,59,1014,29.94342,1.39,,,273,10000,10.0,6.21371,overcast clouds,Clouds,04d,08:20:06,21:37:37,100
2025-07-12T20:50:43.228276,Istanbul,TR,,,,,,,,,73,1016,30.002480000000002,5.14,,,50,10000,10.0,6.21371,clear sky,Clear,01n,22:42:20,13:36:40,0
2025-07-12T20:50:43.272107,Ankara,TR,,,,,,,,,49,1013,29.913890000000002,3.09,,,280,10000,10.0,6.21371,clear sky,Clear,01n,22:30:06,13:17:51,0
2025-07-12T20:50:43.306923,Seoul,KR,,,,,,,,,100,1004,29.648120000000002,2.06,,,170,10000,10.0,6.21371,clear sky,Clear,01d,16:20:58,06:54:13,0
2025-07-12T20:50:43.352633,Busan,KR,,,,,,,,,73,1005,29.67765,3.09,,,50,10000,10.0,6.21371,broken clouds,Clouds,04d,16:18:56,06:39:28,75
2025-07-12T20:50:43.397786,Madrid,ES,,,,,,,,,46,1011,29.85483,4.12,,,240,10000,10.0,6.21371,clear sky,Clear,01n,00:54:57,15:45:31,0
2025-07-12T20:50:43.436910,Barcelona,ES,,,,,,,,,64,1010,29.825300000000002,6.17,,,330,10000,10.0,6.21371,scattered clouds,Clouds,03n,00:28:25,15:25:02,40
2025-07-12T20:50:43.506987,Cairo,EG,,,,,,,,,57,1012,29.88436,5.66,,,360,10000,10.0,6.21371,clear sky,Clear,01n,23:02:16,12:58:40,0
2025-07-12T20:50:43.544813,Alexandria,EG,,,,,,,,,70,1013,29.913890000000002,4.12,,,345,10000,10.0,6.21371,clear sky,Clear,01n,23:04:53,13:06:35,0
2025-07-12T20:50:43.614257,Jakarta,ID,,,,,,,,,77,1010,29.825300000000002,0.89,,,151,10000,10.0,6.21371,broken clouds,Clouds,04n,19:04:31,06:51:44,81
2025-07-12T20:50:43.667476,Surabaya,ID,,,,,,,,,76,1011,29.85483,6.17,,,80,4000,4.0,2.485484,haze,Haze,50n,18:42:36,06:26:24,20
2025-07-13T23:52:51.020243,Cranston,US,,,,,,,,,83,1018,30.06154,5.14,,,170,10000,10.0,6.21371,broken clouds,Clouds,04d,05:22:31,20:20:06,75
2025-07-13T23:52:51.258555,New York,US,,,,,,,,,78,1017,30.03201,4.63,,,130,10000,10.0,6.21371,clear sky,Clear,01d,05:36:09,20:27:02,0
2025-07-13T23:52:51.485450,Los Angeles,US,,,,,,,,,62,1013,29.913890000000002,6.17,,,260,10000,10.0,6.21371,clear sky,Clear,01d,08:51:29,23:05:38,0
2025-07-13T23:52:51.708526,London,GB,,,,,,,,,74,1011,29.85483,2.06,,,120,10000,10.0,6.21371,overcast clouds,Clouds,04n,23:59:42,16:12:38,88
2025-07-13T23:52:51.945608,Manchester,GB,,,,,,,,,73,1010,29.825300000000002,2.57,,,0,10000,10.0,6.21371,overcast clouds,Clouds,04n,23:57:47,16:31:29,100
2025-07-13T23:52:52.198251,Toronto,CA,,,,,,,,,56,1013,29.913890000000002,5.66,,,310,10000,10.0,6.21371,broken clouds,Clouds,04d,05:48:01,20:57:54,75
2025-07-13T23:52:52.435407,Vancouver,CA,,,,,,,,,61,1017,30.03201,4.63,,,230,10000,10.0,6.21371,few clouds,Clouds,02d,08:21:22,00:14:46,20
2025-07-13T23:52:52.658154,Sydney,AU,,,,,,,,,42,1013,29.913890000000002,5.66,,,230,10000,10.0,6.21371,clear sky,Clear,01d,16:58:19,03:03:13,0
2025-07-13T23:52:52.887673,Melbourne,AU,,,,,,,,,79,1014,29.94342,4.12,,,310,10000,10.0,6.21371,few clouds,Clouds,02d,17:33:01,03:18:30,20
2025-07-13T23:52:53.119423,Berlin,DE,,,,,,,,,92,1011,29.85483,0.89,,,355,10000,10.0,6.21371,mist,Mist,50n,23:00:21,15:23:43,25
2025-07-13T23:52:53.348312,Munich,DE,,,,,,,,,90,1015,29.97295,1.34,,,176,10000,10.0,6.21371,scattered clouds,Clouds,03n,23:28:07,15:10:32,40
2025-07-13T23:52:53.580012,Paris,FR,,,,,,,,,75,1013,29.913890000000002,3.6,,,310,10000,10.0,6.21371,clear sky,Clear,01n,00:02:00,15:50:29,0
2025-07-13T23:52:53.812723,Lyon,FR,,,,,,,,,94,1017,30.03201,1.54,,,230,10000,10.0,6.21371,overcast clouds,Clouds,04n,00:04:25,15:28:12,96
2025-07-13T23:52:54.046863,Tokyo,JP,,,,,,,,,79,1000,29.53,6.69,,,350,10000,10.0,6.21371,mist,Mist,50d,15:35:46,05:57:56,75
2025-07-13T23:52:54.289741,Osaka,JP,,,,,,,,,63,997,29.44141,4.63,,,80,10000,10.0,6.21371,few clouds,Clouds,02d,15:55:05,06:12:08,20
2025-07-13T23:52:54.550480,Mumbai,IN,,,,,,,,,89,1004,29.648120000000002,3.6,,,220,2500,2.5,1.5534275,mist,Mist,50n,20:38:41,09:49:33,75
2025-07-13T23:52:54.799763,Delhi,IN,,,,,,,,,89,999,29.50047,2.57,,,50,3200,3.2,1.9883872,mist,Mist,50n,20:02:44,09:51:43,75
2025-07-13T23:52:55.033505,Ṣo Paulo,BR,,,,,,,,,81,1026,30.29778,4.12,,,130,10000,10.0,6.21371,clear sky,Clear,01n,05:48:15,16:35:55,0
2025-07-13T23:52:55.268962,Rio de Janeiro,BR,,,,,,,,,74,1026,30.29778,4.63,,,120,10000,10.0,6.21371,broken clouds,Clouds,04n,05:33:12,16:23:18,75
2025-07-13T23:52:55.500216,Johannesburg,ZA,,,,,,,,,77,1027,30.32731,0.0,,,0,10000,10.0,6.21371,clear sky,Clear,01n,00:54:30,11:32:25,4
2025-07-13T23:52:55.736675,Cape Town,ZA,,,,,,,,,72,1025,30.268250000000002,4.12,,,40,10000,10.0,6.21371,few clouds,Clouds,02n,01:49:28,11:54:26,20
2025-07-13T23:52:55.970805,Rome,IT,,,,,,,,,65,1018,30.06154,1.03,,,10,10000,10.0,6.21371,clear sky,Clear,01n,23:47:01,14:44:19,0
2025-07-13T23:52:56.193891,Milan,IT,,,,,,,,,81,1017,30.03201,1.54,,,230,10000,10.0,6.21371,clear sky,Clear,01n,23:48:06,15:09:41,0
2025-07-13T23:52:56.427690,Moscow,RU,,,,,,,,,64,1014,29.94342,2.12,,,85,10000,10.0,6.21371,overcast clouds,Clouds,04n,21:04:26,14:05:55,100
2025-07-13T23:52:56.679930,Saint Petersburg,RU,,,,,,,,,84,1016,30.002480000000002,0.0,,,0,9000,9.0,5.592339,scattered clouds,Clouds,03n,21:00:58,15:07:38,43
2025-07-13T23:52:56.917189,Beijing,CN,,,,,,,,,57,1005,29.67765,0.46,,,48,10000,10.0,6.21371,overcast clouds,Clouds,04d,16:57:17,07:42:42,96
2025-07-13T23:52:57.156164,Shanghai,CN,,,,,,,,,74,1001,29.559530000000002,3.0,,,320,10000,10.0,6.21371,few clouds,Clouds,02d,16:59:33,06:59:54,20
2025-07-13T23:52:57.389347,Mexico City,MX,,,,,,,,,38,1013,29.913890000000002,10.29,,,80,10000,10.0,6.21371,light rain,Rain,10d,08:05:53,21:18:19,75
2025-07-13T23:52:57.636687,Guadalajara,MX,,,,,,,,,50,1012,29.88436,9.77,,,300,10000,10.0,6.21371,overcast clouds,Clouds,04d,08:20:29,21:37:28,100
2025-07-13T23:52:57.880689,Istanbul,TR,,,,,,,,,78,1016,30.002480000000002,3.6,,,60,10000,10.0,6.21371,clear sky,Clear,01n,22:43:51,13:35:37,0
2025-07-13T23:52:58.121641,Ankara,TR,,,,,,,,,46,1015,29.97295,3.6,,,340,10000,10.0,6.21371,clear sky,Clear,01n,22:31:33,13:16:52,0
2025-07-13T23:52:58.350305,Seoul,KR,,,,,,,,,89,996,29.41188,1.03,,,280,10000,10.0,6.21371,scattered clouds,Clouds,03d,16:21:38,06:53:46,40
2025-07-13T23:52:58.583347,Busan,KR,,,,,,,,,88,994,29.35282,3.6,,,320,10000,10.0,6.21371,scattered clouds,Clouds,03d,16:19:34,06:39:04,40
2025-07-13T23:52:58.813967,Madrid,ES,,,,,,,,,37,1015,29.97295,2.06,,,360,10000,10.0,6.21371,clear sky,Clear,01n,00:56:26,15:44:30,0
2025-07-13T23:52:59.047062,Barcelona,ES,,,,,,,,,65,1018,30.06154,2.06,,,330,10000,10.0,6.21371,clear sky,Clear,01n,00:29:57,15:23:58,0
2025-07-13T23:52:59.282236,Cairo,EG,,,,,,,,,65,1011,29.85483,5.14,,,360,10000,10.0,6.21371,clear sky,Clear,01n,23:03:19,12:58:05,0
2025-07-13T23:52:59.524353,Alexandria,EG,,,,,,,,,70,1011,29.85483,3.89,,,318,10000,10.0,6.21371,clear sky,Clear,01n,23:05:59,13:05:58,0
2025-07-13T23:52:59.761696,Jakarta,ID,,,,,,,,,87,1011,29.85483,1.54,,,190,5000,5.0,3.106855,haze,Haze,50d,19:04:34,06:51:55,40
2025-07-13T23:53:00.004806,Surabaya,ID,,,,,,,,,89,1012,29.88436,2.06,,,300,5000,5.0,3.106855,haze,Haze,50d,18:42:38,06:26:36,20
2025-07-13T23:53:21.304435,Cranston,US,,,,,,,,,83,1018,30.06154,5.14,,,170,10000,10.0,6.21371,broken clouds,Clouds,04d,05:22:31,20:20:06,75
2025-07-13T23:53:21.533862,New York,US,,,,,,,,,78,1017,30.03201,4.63,,,130,10000,10.0,6.21371,clear sky,Clear,01d,05:36:09,20:27:02,0
2025-07-13T23:53:21.759659,Los Angeles,US,,,,,,,,,62,1013,29.913890000000002,6.17,,,260,10000,10.0,6.21371,clear sky,Clear,01d,08:51:29,23:05:38,0
2025-07-13T23:53:21.997292,London,GB,,,,,,,,,74,1011,29.85483,2.06,,,120,10000,10.0,6.21371,overcast clouds,Clouds,04n,23:59:42,16:12:38,88
2025-07-13T23:53:22.227480,Manchester,GB,,,,,,,,,73,1010,29.825300000000002,2.57,,,0,10000,10.0,6.21371,overcast clouds,Clouds,04n,23:57:47,16:31:29,100
2025-07-13T23:53:22.456223,Toronto,CA,,,,,,,,,56,1013,29.913890000000002,5.66,,,310,10000,10.0,6.21371,broken clouds,Clouds,04d,05:48:01,20:57:54,75
2025-07-13T23:53:22.685486,Vancouver,CA,,,,,,,,,61,1017,30.03201,4.63,,,230,10000,10.0,6.21371,few clouds,Clouds,02d,08:21:22,00:14:46,20
2025-07-13T23:53:22.912320,Sydney,AU,,,,,,,,,42,1013,29.913890000000002,5.66,,,230,10000,10.0,6.21371,clear sky,Clear,01d,16:58:19,03:03:13,0
2025-07-13T23:53:23.137992,Melbourne,AU,,,,,,,,,79,1014,29.94342,4.12,,,310,10000,10.0,6.21371,few clouds,Clouds,02d,17:33:01,03:18:30,20
2025-07-13T23:53:23.361894,Berlin,DE,,,,,,,,,92,1011,29.85483,0.89,,,355,10000,10.0,6.21371,mist,Mist,50n,23:00:21,15:23:43,25
2025-07-13T23:53:23.591335,Munich,DE,,,,,,,,,90,1015,29.97295,1.34,,,176,10000,10.0,6.21371,scattered clouds,Clouds,03n,23:28:07,15:10:32,40
2025-07-13T23:53:23.817066,Paris,FR,,,,,,,,,75,1013,29.913890000000002,3.6,,,310,10000,10.0,6.21371,clear sky,Clear,01n,00:02:00,15:50:29,0
2025-07-13T23:53:24.064957,Lyon,FR,,,,,,,,,94,1017,30.03201,1.54,,,230,10000,10.0,6.21371,overcast clouds,Clouds,04n,00:04:25,15:28:12,96
2025-07-13T23:53:24.299124,Tokyo,JP,,,,,,,,,79,1000,29.53,6.69,,,350,10000,10.0,6.21371,mist,Mist,50d,15:35:46,05:57:56,75
2025-07-13T23:53:24.523048,Osaka,JP,,,,,,,,,63,997,29.44141,4.63,,,80,10000,10.0,6.21371,few clouds,Clouds,02d,15:55:05,06:12:08,20
2025-07-13T23:53:24.743817,Mumbai,IN,,,,,,,,,89,1004,29.648120000000002,3.6,,,220,2500,2.5,1.5534275,mist,Mist,50n,20:38:41,09:49:33,75
2025-07-13T23:53:24.975030,Delhi,IN,,,,,,,,,89,999,29.50047,2.57,,,50,3200,3.2,1.9883872,mist,Mist,50n,20:02:44,09:51:43,75
2025-07-13T23:53:25.206705,Ṣo Paulo,BR,,,,,,,,,81,1026,30.29778,4.12,,,130,10000,10.0,6.21371,clear sky,Clear,01n,05:48:15,16:35:55,0
2025-07-13T23:53:25.430133,Rio de Janeiro,BR,,,,,,,,,74,1026,30.29778,4.63,,,120,10000,10.0,6.21371,broken clouds,Clouds,04n,05:33:12,16:23:18,75
2025-07-13T23:53:25.655137,Johannesburg,ZA,,,,,,,,,77,1027,30.32731,0.0,,,0,10000,10.0,6.21371,clear sky,Clear,01n,00:54:30,11:32:25,4
2025-07-13T23:53:25.877514,Cape Town,ZA,,,,,,,,,72,1025,30.268250000000002,4.12,,,40,10000,10.0,6.21371,few clouds,Clouds,02n,01:49:28,11:54:26,20
2025-07-13T23:53:26.106945,Rome,IT,,,,,,,,,65,1018,30.06154,1.03,,,10,10000,10.0,6.21371,clear sky,Clear,01n,23:47:01,14:44:19,0
2025-07-13T23:53:26.382136,Milan,IT,,,,,,,,,81,1017,30.03201,1.54,,,230,10000,10.0,6.21371,clear sky,Clear,01n,23:48:06,15:09:41,0
2025-07-13T23:53:26.617147,Moscow,RU,,,,,,,,,64,1014,29.94342,2.12,,,85,10000,10.0,6.21371,overcast clouds,Clouds,04n,21:04:26,14:05:55,100
2025-07-13T23:53:26.850082,Saint Petersburg,RU,,,,,,,,,84,1016,30.002480000000002,0.0,,,0,9000,9.0,5.592339,scattered clouds,Clouds,03n,21:00:58,15:07:38,43
2025-07-13T23:53:27.074384,Beijing,CN,,,,,,,,,57,1005,29.67765,0.46,,,48,10000,10.0,6.21371,overcast clouds,Clouds,04d,16:57:17,07:42:42,96
2025-07-13T23:53:27.301000,Shanghai,CN,,,,,,,,,74,1001,29.559530000000002,3.0,,,320,10000,10.0,6.21371,few clouds,Clouds,02d,16:59:33,06:59:54,20
2025-07-13T23:53:27.529949,Mexico City,MX,,,,,,,,,38,1013,29.913890000000002,10.29,,,80,10000,10.0,6.21371,light rain,Rain,10d,08:05:53,21:18:19,75
2025-07-13T23:53:27.755089,Guadalajara,MX,,,,,,,,,50,1012,29.88436,9.77,,,300,10000,10.0,6.21371,overcast clouds,Clouds,04d,08:20:29,21:37:28,100
2025-07-13T23:53:27.977622,Istanbul,TR,,,,,,,,,78,1016,30.002480000000002,3.6,,,60,10000,10.0,6.21371,clear sky,Clear,01n,22:43:51,13:35:37,0
2025-07-13T23:53:28.204407,Ankara,TR,,,,,,,,,46,1015,29.97295,3.6,,,340,10000,10.0,6.21371,clear sky,Clear,01n,22:31:33,13:16:52,0
2025-07-13T23:53:28.431070,Seoul,KR,,,,,,,,,89,996,29.41188,1.03,,,280,10000,10.0,6.21371,scattered clouds,Clouds,03d,16:21:38,06:53:46,40
2025-07-13T23:53:28.661683,Busan,KR,,,,,,,,,88,994,29.35282,3.6,,,320,10000,10.0,6.21371,scattered clouds,Clouds,03d,16:19:34,06:39:04,40
2025-07-13T23:53:28.892587,Madrid,ES,,,,,,,,,37,1015,29.97295,2.06,,,360,10000,10.0,6.21371,clear sky,Clear,01n,00:56:26,15:44:30,0
2025-07-13T23:53:29.119718,Barcelona,ES,,,,,,,,,65,1018,30.06154,2.06,,,330,10000,10.0,6.21371,clear sky,Clear,01n,00:29:57,15:23:58,0
2025-07-13T23:53:29.348376,Cairo,EG,,,,,,,,,65,1011,29.85483,5.14,,,360,10000,10.0,6.21371,clear sky,Clear,01n,23:03:19,12:58:05,0
2025-07-13T23:53:29.577078,Alexandria,EG,,,,,,,,,70,1011,29.85483,3.89,,,318,10000,10.0,6.21371,clear sky,Clear,01n,23:05:59,13:05:58,0
2025-07-13T23:53:29.802150,Jakarta,ID,,,,,,,,,87,1011,29.85483,1.54,,,190,5000,5.0,3.106855,haze,Haze,50d,19:04:34,06:51:55,40
2025-07-13T23:53:30.028114,Surabaya,ID,,,,,,,,,89,1012,29.88436,2.06,,,300,5000,5.0,3.106855,haze,Haze,50d,18:42:38,06:26:36,20
2025-07-13T23:53:48.548594+00:00,Cranston,US,,,,,,,,,83,1018,30.06154,5.14,,,170,10000,10.0,6.21371,broken clouds,Clouds,04d,05:22:31,20:20:06,75
2025-07-13T23:53:48.795450+00:00,New York,US,,,,,,,,,78,1017,30.03201,4.63,,,130,10000,10.0,6.21371,clear sky,Clear,01d,05:36:09,20:27:02,0
2025-07-13T23:53:49.021011+00:00,Los Angeles,US,,,,,,,,,62,1013,29.913890000000002,6.17,,,260,10000,10.0,6.21371,clear sky,Clear,01d,08:51:29,23:05:38,0
2025-07-13T23:53:49.245706+00:00,London,GB,,,,,,,,,74,1011,29.85483,2.06,,,120,10000,10.0,6.21371,overcast clouds,Clouds,04n,23:59:42,16:12:38,88
2025-07-13T23:53:49.479603+00:00,Manchester,GB,,,,,,,,,73,1010,29.825300000000002,2.57,,,0,10000,10.0,6.21371,overcast clouds,Clouds,04n,23:57:47,16:31:29,100
2025-07-13T23:53:49.710078+00:00,Toronto,CA,,,,,,,,,56,1013,29.913890000000002,5.66,,,310,10000,10.0,6.21371,broken clouds,Clouds,04d,05:48:01,20:57:54,75
2025-07-13T23:53:49.931288+00:00,Vancouver,CA,,,,,,,,,61,1017,30.03201,4.63,,,230,10000,10.0,6.21371,few clouds,Clouds,02d,08:21:22,00:14:46,20
2025-07-13T23:53:50.160923+00:00,Sydney,AU,,,,,,,,,42,1013,29.913890000000002,5.66,,,230,10000,10.0,6.21371,clear sky,Clear,01d,16:58:19,03:03:13,0
2025-07-13T23:53:50.383216+00:00,Melbourne,AU,,,,,,,,,79,1014,29.94342,4.12,,,310,10000,10.0,6.21371,few clouds,Clouds,02d,17:33:01,03:18:30,20
2025-07-13T23:53:50.642859+00:00,Berlin,DE,,,,,,,,,92,1011,29.85483,0.89,,,355,10000,10.0,6.21371,mist,Mist,50n,23:00:21,15:23:43,25
2025-07-13T23:53:50.867352+00:00,Munich,DE,,,,,,,,,90,1015,29.97295,1.34,,,176,10000,10.0,6.21371,scattered clouds,Clouds,03n,23:28:07,15:10:32,40
2025-07-13T23:53:51.101066+00:00,Paris,FR,,,,,,,,,75,1013,29.913890000000002,3.6,,,310,10000,10.0,6.21371,clear sky,Clear,01n,00:02:00,15:50:29,0
2025-07-13T23:53:51.325450+00:00,Lyon,FR,,,,,,,,,94,1017,30.03201,1.54,,,230,10000,10.0,6.21371,overcast clouds,Clouds,04n,00:04:25,15:28:12,96
2025-07-13T23:53:51.554630+00:00,Tokyo,JP,,,,,,,,,79,1000,29.53,6.69,,,350,10000,10.0,6.21371,mist,Mist,50d,15:35:46,05:57:56,75
2025-07-13T23:53:51.783380+00:00,Osaka,JP,,,,,,,,,63,997,29.44141,4.63,,,80,10000,10.0,6.21371,few clouds,Clouds,02d,15:55:05,06:12:08,20
2025-07-13T23:53:52.009044+00:00,Mumbai,IN,,,,,,,,,89,1004,29.648120000000002,3.6,,,220,2500,2.5,1.5534275,mist,Mist,50n,20:38:41,09:49:33,75
2025-07-13T23:53:52.234532+00:00,Delhi,IN,,,,,,,,,89,999,29.50047,2.57,,,50,3200,3.2,1.9883872,mist,Mist,50n,20:02:44,09:51:43,75
2025-07-13T23:53:52.503651+00:00,Ṣo Paulo,BR,,,,,,,,,81,1026,30.29778,4.12,,,130,10000,10.0,6.21371,clear sky,Clear,01n,05:48:15,16:35:55,0
2025-07-13T23:53:52.741341+00:00,Rio de Janeiro,BR,,,,,,,,,74,1026,30.29778,4.63,,,120,10000,10.0,6.21371,broken clouds,Clouds,04n,05:33:12,16:23:18,75
2025-07-13T23:53:52.967991+00:00,Johannesburg,ZA,,,,,,,,,77,1027,30.32731,0.0,,,0,10000,10.0,6.21371,clear sky,Clear,01n,00:54:30,11:32:25,4
2025-07-13T23:53:53.197970+00:00,Cape Town,ZA,,,,,,,,,72,1025,30.268250000000002,4.12,,,40,10000,10.0,6.21371,few clouds,Clouds,02n,01:49:28,11:54:26,20
2025-07-13T23:53:53.433179+00:00,Rome,IT,,,,,,,,,65,1018,30.06154,1.03,,,10,10000,10.0,6.21371,clear sky,Clear,01n,23:47:01,14:44:19,0
